id,key,value,type
26608883,ele,126,regular
26608883,iata,ADB,regular
26608883,icao,LTBJ,regular
26608883,name,Adnan Menderes Airport,regular
26608883,type,Public,regular
26608883,is_in,"Turkey, Izmir",regular
26608883,name_2,Adnan Menderes International,regular
26608883,source,Wikipedia,regular
26608883,aeroway,Aerodrome,regular
26608883,en,Adnan Menderes Airport,name
26608883,tr,Adnan Menderes Airport,name
26608883,website,Http://Www.Adnanmenderesairport.Com/Izmiren/Index.Php,regular
26608883,operator,Turkish Government Airport Management '',regular
26608883,wikipedia,En:Adnan Menderes Airport,regular
26608883,city_served,Izmir,regular
26608883,id,6299750,geonames
26834461,created_by,JOSM,regular
26835457,created_by,JOSM,regular
26835722,ref,K10,regular
26835722,name,University,regular
26835722,highway,Motorway_Junction,regular
26835801,ref,K8,regular
26835801,name,Otogar,regular
26835801,highway,Motorway_Junction,regular
26835848,created_by,JOSM,regular
26835850,created_by,JOSM,regular
26835879,created_by,JOSM,regular
26835884,highway,Motorway_Junction,regular
26835910,created_by,JOSM,regular
26835930,created_by,JOSM,regular
26835935,created_by,JOSM,regular
26835937,created_by,JOSM,regular
26835939,created_by,JOSM,regular
26835941,created_by,JOSM,regular
26835945,created_by,JOSM,regular
26836177,created_by,JOSM,regular
26836179,created_by,JOSM,regular
26836183,created_by,JOSM,regular
26836186,created_by,JOSM,regular
26836188,created_by,JOSM,regular
26836191,created_by,JOSM,regular
26836194,created_by,JOSM,regular
26836197,created_by,JOSM,regular
26836200,created_by,JOSM,regular
26836202,created_by,JOSM,regular
26836209,created_by,JOSM,regular
26836217,created_by,JOSM,regular
26836220,created_by,JOSM,regular
26836224,created_by,JOSM,regular
26836228,created_by,JOSM,regular
26836231,created_by,JOSM,regular
26836234,created_by,JOSM,regular
26836238,created_by,JOSM,regular
26836244,created_by,JOSM,regular
26836250,created_by,JOSM,regular
26836279,created_by,JOSM,regular
26836345,created_by,JOSM,regular
26836431,ref,K6,regular
26836431,highway,Motorway_Junction,regular
26836441,created_by,JOSM,regular
26836447,created_by,JOSM,regular
26836468,barrier,Toll_Booth,regular
26836695,created_by,JOSM,regular
26836743,created_by,JOSM,regular
26836746,created_by,JOSM,regular
26836768,created_by,JOSM,regular
26836770,created_by,JOSM,regular
26836775,created_by,JOSM,regular
26836800,created_by,JOSM,regular
26836803,created_by,JOSM,regular
26836810,created_by,JOSM,regular
26836815,created_by,JOSM,regular
26836816,created_by,JOSM,regular
26863327,name,Karabelen,regular
26863327,natural,Peak,regular
26863327,created_by,Potlatch 0.9C,regular
27773798,source,PGS,regular
27773798,created_by,Almien_Coastlines,regular
27773808,source,PGS,regular
27773808,created_by,Almien_Coastlines,regular
27773824,source,PGS,regular
27773824,created_by,Almien_Coastlines,regular
27773831,source,PGS,regular
27773831,created_by,Almien_Coastlines,regular
27773849,source,PGS,regular
27773849,created_by,Almien_Coastlines,regular
27773854,source,PGS,regular
27773854,created_by,Almien_Coastlines,regular
27773863,source,PGS,regular
27773863,created_by,Almien_Coastlines,regular
27773868,source,PGS,regular
27773868,created_by,Almien_Coastlines,regular
27773877,source,PGS,regular
27773877,created_by,Almien_Coastlines,regular
27773882,source,PGS,regular
27773882,created_by,Almien_Coastlines,regular
27773884,source,PGS,regular
27773884,created_by,Almien_Coastlines,regular
27773889,source,PGS,regular
27773889,created_by,Almien_Coastlines,regular
27773896,source,PGS,regular
27773896,created_by,Almien_Coastlines,regular
27773901,source,PGS,regular
27773901,created_by,Almien_Coastlines,regular
27773909,source,PGS,regular
27773909,created_by,Almien_Coastlines,regular
27773911,source,PGS,regular
27773911,created_by,Almien_Coastlines,regular
27773912,source,PGS,regular
27773912,created_by,Almien_Coastlines,regular
27773916,source,PGS,regular
27773916,created_by,Almien_Coastlines,regular
27774138,source,PGS,regular
27774138,created_by,Almien_Coastlines,regular
27774140,source,PGS,regular
27774140,created_by,Almien_Coastlines,regular
27774141,source,PGS,regular
27774141,created_by,Almien_Coastlines,regular
27774147,source,PGS,regular
27774147,created_by,Almien_Coastlines,regular
27774155,source,PGS,regular
27774155,created_by,Almien_Coastlines,regular
27774165,source,PGS,regular
27774165,created_by,Almien_Coastlines,regular
27774173,source,PGS,regular
27774173,created_by,Almien_Coastlines,regular
27774181,source,PGS,regular
27774181,created_by,Almien_Coastlines,regular
27774187,source,PGS,regular
27774187,created_by,Almien_Coastlines,regular
27774198,source,PGS,regular
27774198,created_by,Almien_Coastlines,regular
27774222,source,PGS,regular
27774222,created_by,Almien_Coastlines,regular
27774227,source,PGS,regular
27774227,created_by,Almien_Coastlines,regular
27774244,source,PGS,regular
27774244,created_by,Almien_Coastlines,regular
27774254,source,PGS,regular
27774254,created_by,Almien_Coastlines,regular
27774268,source,PGS,regular
27774268,created_by,Almien_Coastlines,regular
27774280,source,PGS,regular
27774280,created_by,Almien_Coastlines,regular
27774287,source,PGS,regular
27774287,created_by,Almien_Coastlines,regular
27774310,source,PGS,regular
27774310,created_by,Almien_Coastlines,regular
27774332,source,PGS,regular
27774332,created_by,Almien_Coastlines,regular
27774338,source,PGS,regular
27774338,created_by,Almien_Coastlines,regular
27774342,source,PGS,regular
27774342,created_by,Almien_Coastlines,regular
27774350,source,PGS,regular
27774350,created_by,Almien_Coastlines,regular
27774365,source,PGS,regular
27774365,created_by,Almien_Coastlines,regular
27774374,source,PGS,regular
27774374,created_by,Almien_Coastlines,regular
27774384,source,PGS,regular
27774384,created_by,Almien_Coastlines,regular
27774410,source,PGS,regular
27774410,created_by,Almien_Coastlines,regular
27774417,source,PGS,regular
27774417,created_by,Almien_Coastlines,regular
27774430,source,PGS,regular
27774430,created_by,Almien_Coastlines,regular
27774442,source,PGS,regular
27774442,created_by,Almien_Coastlines,regular
27774451,source,PGS,regular
27774451,created_by,Almien_Coastlines,regular
27774461,source,PGS,regular
27774461,created_by,Almien_Coastlines,regular
27774599,source,PGS,regular
27774599,created_by,Almien_Coastlines,regular
27774618,source,PGS,regular
27774618,created_by,Almien_Coastlines,regular
27774671,source,PGS,regular
27774683,source,PGS,regular
27774718,source,PGS,regular
27774718,created_by,Almien_Coastlines,regular
27774729,source,PGS,regular
27774729,created_by,Almien_Coastlines,regular
27774738,source,PGS,regular
27774738,created_by,Almien_Coastlines,regular
27774749,source,PGS,regular
27774749,created_by,Almien_Coastlines,regular
27774763,source,PGS,regular
27774763,created_by,Almien_Coastlines,regular
27774775,source,PGS,regular
27774775,created_by,Almien_Coastlines,regular
27774783,source,PGS,regular
27774783,created_by,Almien_Coastlines,regular
27774797,source,PGS,regular
27774797,created_by,Almien_Coastlines,regular
27774814,source,PGS,regular
27774814,created_by,Almien_Coastlines,regular
27774839,source,PGS,regular
27774839,created_by,Almien_Coastlines,regular
27774850,source,PGS,regular
27774850,created_by,Almien_Coastlines,regular
27774859,source,PGS,regular
27774859,created_by,Almien_Coastlines,regular
27774867,source,PGS,regular
27774867,created_by,Almien_Coastlines,regular
27774883,source,PGS,regular
27774883,created_by,Almien_Coastlines,regular
27774891,source,PGS,regular
27774891,created_by,Almien_Coastlines,regular
27774913,source,PGS,regular
27774913,created_by,Almien_Coastlines,regular
27774925,source,PGS,regular
27774925,created_by,Almien_Coastlines,regular
27774933,source,PGS,regular
27774933,created_by,Almien_Coastlines,regular
27774943,source,PGS,regular
27774943,created_by,Almien_Coastlines,regular
27774952,source,PGS,regular
27774952,created_by,Almien_Coastlines,regular
27774965,source,PGS,regular
27774965,created_by,Almien_Coastlines,regular
27774974,source,PGS,regular
27774974,created_by,Almien_Coastlines,regular
27774990,source,PGS,regular
27774990,created_by,Almien_Coastlines,regular
27775003,source,PGS,regular
27775003,created_by,Almien_Coastlines,regular
27775032,source,PGS,regular
27775032,created_by,Almien_Coastlines,regular
27775036,source,PGS,regular
27775036,created_by,Almien_Coastlines,regular
27775047,source,PGS,regular
27775047,created_by,Almien_Coastlines,regular
27775060,source,PGS,regular
27775060,created_by,Almien_Coastlines,regular
27775065,source,PGS,regular
27775065,created_by,Almien_Coastlines,regular
27775073,source,PGS,regular
27775073,created_by,Almien_Coastlines,regular
27775082,source,PGS,regular
27775082,created_by,Almien_Coastlines,regular
27775091,source,PGS,regular
27775091,created_by,Almien_Coastlines,regular
27775099,source,PGS,regular
27775099,created_by,Almien_Coastlines,regular
27775113,source,PGS,regular
27775113,created_by,Almien_Coastlines,regular
27775120,source,PGS,regular
27775120,created_by,Almien_Coastlines,regular
27775134,source,PGS,regular
27775134,created_by,Almien_Coastlines,regular
27775140,source,PGS,regular
27775140,created_by,Almien_Coastlines,regular
27775150,source,PGS,regular
27775150,created_by,Almien_Coastlines,regular
27775158,source,PGS,regular
27775158,created_by,Almien_Coastlines,regular
27775169,source,PGS,regular
27775169,created_by,Almien_Coastlines,regular
27775178,source,PGS,regular
27775178,created_by,Almien_Coastlines,regular
27775199,source,PGS,regular
27775199,created_by,Almien_Coastlines,regular
27775205,source,PGS,regular
27775205,created_by,Almien_Coastlines,regular
27775230,source,PGS,regular
27775230,created_by,Almien_Coastlines,regular
27775240,source,PGS,regular
27775240,created_by,Almien_Coastlines,regular
27775260,source,PGS,regular
27775260,created_by,Almien_Coastlines,regular
27775280,source,PGS,regular
27775280,created_by,Almien_Coastlines,regular
27775288,source,PGS,regular
27775288,created_by,Almien_Coastlines,regular
27775305,source,PGS,regular
27775305,created_by,Almien_Coastlines,regular
27775312,source,PGS,regular
27775312,created_by,Almien_Coastlines,regular
27775320,source,PGS,regular
27775320,created_by,Almien_Coastlines,regular
27775331,source,PGS,regular
27775331,created_by,Almien_Coastlines,regular
27775351,source,PGS,regular
27775351,created_by,Almien_Coastlines,regular
27775365,source,PGS,regular
27775365,created_by,Almien_Coastlines,regular
27775372,source,PGS,regular
27775372,created_by,Almien_Coastlines,regular
27775382,source,PGS,regular
27775382,created_by,Almien_Coastlines,regular
27775403,source,PGS,regular
27775403,created_by,Almien_Coastlines,regular
27775434,source,PGS,regular
27775434,created_by,Almien_Coastlines,regular
27775440,source,PGS,regular
27775440,created_by,Almien_Coastlines,regular
27775449,source,PGS,regular
27775449,created_by,Almien_Coastlines,regular
27775457,source,PGS,regular
27775457,created_by,Almien_Coastlines,regular
27775464,source,PGS,regular
27775464,created_by,Almien_Coastlines,regular
27775469,source,PGS,regular
27775469,created_by,Almien_Coastlines,regular
27775484,source,PGS,regular
27775484,created_by,Almien_Coastlines,regular
27775499,source,PGS,regular
27775499,created_by,Almien_Coastlines,regular
27775537,source,PGS,regular
27775537,created_by,Almien_Coastlines,regular
27775559,source,PGS,regular
27775559,created_by,Almien_Coastlines,regular
27775573,source,PGS,regular
27775573,created_by,Almien_Coastlines,regular
27775586,source,PGS,regular
27775586,created_by,Almien_Coastlines,regular
27775608,source,PGS,regular
27775608,created_by,Almien_Coastlines,regular
27775611,source,PGS,regular
27775611,created_by,Almien_Coastlines,regular
27775614,source,PGS,regular
27775614,created_by,Almien_Coastlines,regular
27775617,source,PGS,regular
27775617,created_by,Almien_Coastlines,regular
27775620,source,PGS,regular
27775620,created_by,Almien_Coastlines,regular
27775623,source,PGS,regular
27775623,created_by,Almien_Coastlines,regular
27775627,source,PGS,regular
27775627,created_by,Almien_Coastlines,regular
27775632,source,PGS,regular
27775632,created_by,Almien_Coastlines,regular
27775637,source,PGS,regular
27775637,created_by,Almien_Coastlines,regular
27775645,source,PGS,regular
27775645,created_by,Almien_Coastlines,regular
27775648,source,PGS,regular
27775648,created_by,Almien_Coastlines,regular
27775651,source,PGS,regular
27775651,created_by,Almien_Coastlines,regular
27775654,source,PGS,regular
27775654,created_by,Almien_Coastlines,regular
27775657,source,PGS,regular
27775657,created_by,Almien_Coastlines,regular
27775661,source,PGS,regular
27775661,created_by,Almien_Coastlines,regular
27775666,source,PGS,regular
27775666,created_by,Almien_Coastlines,regular
27775671,source,PGS,regular
27775671,created_by,Almien_Coastlines,regular
27775676,source,PGS,regular
27775676,created_by,Almien_Coastlines,regular
27775683,source,PGS,regular
27775683,created_by,Almien_Coastlines,regular
27775695,source,PGS,regular
27775695,created_by,Almien_Coastlines,regular
27775707,source,PGS,regular
27775707,created_by,Almien_Coastlines,regular
27775721,source,PGS,regular
27775721,created_by,Almien_Coastlines,regular
27775731,source,PGS,regular
27775731,created_by,Almien_Coastlines,regular
27775743,source,PGS,regular
27775743,created_by,Almien_Coastlines,regular
27775762,source,PGS,regular
27775762,created_by,Almien_Coastlines,regular
27775773,source,PGS,regular
27775773,created_by,Almien_Coastlines,regular
27775784,source,PGS,regular
27775784,created_by,Almien_Coastlines,regular
27775792,source,PGS,regular
27775792,created_by,Almien_Coastlines,regular
27775802,source,PGS,regular
27775802,created_by,Almien_Coastlines,regular
27775809,source,PGS,regular
27775809,created_by,Almien_Coastlines,regular
27775819,source,PGS,regular
27775819,created_by,Almien_Coastlines,regular
27775834,source,PGS,regular
27775834,created_by,Almien_Coastlines,regular
27775845,source,PGS,regular
27775845,created_by,Almien_Coastlines,regular
27775855,source,PGS,regular
27775855,created_by,Almien_Coastlines,regular
27775868,source,PGS,regular
27775868,created_by,Almien_Coastlines,regular
27775885,source,PGS,regular
27775885,created_by,Almien_Coastlines,regular
27775892,source,PGS,regular
27775892,created_by,Almien_Coastlines,regular
27775901,source,PGS,regular
27775901,created_by,Almien_Coastlines,regular
27775915,source,PGS,regular
27775915,created_by,Almien_Coastlines,regular
27775921,source,PGS,regular
27775921,created_by,Almien_Coastlines,regular
27775926,source,PGS,regular
27775926,created_by,Almien_Coastlines,regular
27775933,source,PGS,regular
27775933,created_by,Almien_Coastlines,regular
27775943,source,PGS,regular
27775943,created_by,Almien_Coastlines,regular
27775950,source,PGS,regular
27775950,created_by,Almien_Coastlines,regular
27775952,source,PGS,regular
27775952,created_by,Almien_Coastlines,regular
27775954,source,PGS,regular
27775954,created_by,Almien_Coastlines,regular
27775956,source,PGS,regular
27775956,created_by,Almien_Coastlines,regular
27775958,source,PGS,regular
27775958,created_by,Almien_Coastlines,regular
27775960,source,PGS,regular
27775960,created_by,Almien_Coastlines,regular
27775961,source,PGS,regular
27775961,created_by,Almien_Coastlines,regular
27775964,source,PGS,regular
27775964,created_by,Almien_Coastlines,regular
27775972,source,PGS,regular
27775972,created_by,Almien_Coastlines,regular
27775992,source,PGS,regular
27775992,created_by,Almien_Coastlines,regular
27776023,source,PGS,regular
27776023,created_by,Almien_Coastlines,regular
27776056,source,PGS,regular
27776056,created_by,Almien_Coastlines,regular
27776086,source,PGS,regular
27776086,created_by,Almien_Coastlines,regular
27776119,source,PGS,regular
27776119,created_by,Almien_Coastlines,regular
27776129,source,PGS,regular
27776129,created_by,Almien_Coastlines,regular
27776139,source,PGS,regular
27776139,created_by,Almien_Coastlines,regular
27776146,source,PGS,regular
27776146,created_by,Almien_Coastlines,regular
27776157,source,PGS,regular
27776157,created_by,Almien_Coastlines,regular
27776171,source,PGS,regular
27776171,created_by,Almien_Coastlines,regular
27776180,source,PGS,regular
27776180,created_by,Almien_Coastlines,regular
27776185,source,PGS,regular
27776185,created_by,Almien_Coastlines,regular
27776191,source,PGS,regular
27776191,created_by,Almien_Coastlines,regular
27776197,source,PGS,regular
27776197,created_by,Almien_Coastlines,regular
27776205,source,PGS,regular
27776205,created_by,Almien_Coastlines,regular
27776216,source,PGS,regular
27776216,created_by,Almien_Coastlines,regular
27776225,source,PGS,regular
27776225,created_by,Almien_Coastlines,regular
27776241,source,PGS,regular
27776241,created_by,Almien_Coastlines,regular
27776254,source,PGS,regular
27776254,created_by,Almien_Coastlines,regular
27776262,source,PGS,regular
27776262,created_by,Almien_Coastlines,regular
27776278,source,PGS,regular
27776278,created_by,Almien_Coastlines,regular
27776290,source,PGS,regular
27776300,source,PGS,regular
27776300,created_by,Almien_Coastlines,regular
27776312,source,PGS,regular
27776312,created_by,Almien_Coastlines,regular
27776335,source,PGS,regular
27776335,created_by,Almien_Coastlines,regular
27776343,source,PGS,regular
27776347,source,PGS,regular
27776347,created_by,Almien_Coastlines,regular
27776357,source,PGS,regular
27776357,created_by,Almien_Coastlines,regular
27776365,source,PGS,regular
27776374,source,PGS,regular
27776374,created_by,Almien_Coastlines,regular
27776384,source,PGS,regular
27776396,source,PGS,regular
27776404,source,PGS,regular
27776408,source,PGS,regular
27776412,source,PGS,regular
27776432,source,PGS,regular
27776438,source,PGS,regular
27776438,created_by,Almien_Coastlines,regular
27776444,source,PGS,regular
27776453,source,PGS,regular
27776453,created_by,Almien_Coastlines,regular
27776462,source,PGS,regular
27776462,created_by,Almien_Coastlines,regular
27776472,source,PGS,regular
27776482,source,PGS,regular
27776495,source,PGS,regular
27776498,source,PGS,regular
27776498,created_by,Almien_Coastlines,regular
27776499,source,PGS,regular
27776499,created_by,Almien_Coastlines,regular
27776500,source,PGS,regular
27776500,created_by,Almien_Coastlines,regular
27776502,source,PGS,regular
27776502,created_by,Almien_Coastlines,regular
27776503,source,PGS,regular
27776503,created_by,Almien_Coastlines,regular
27776504,source,PGS,regular
27776504,created_by,Almien_Coastlines,regular
27776505,source,PGS,regular
27776505,created_by,Almien_Coastlines,regular
27776506,source,PGS,regular
27776506,created_by,Almien_Coastlines,regular
27776507,source,PGS,regular
27776507,created_by,Almien_Coastlines,regular
27776510,source,PGS,regular
27776510,created_by,Almien_Coastlines,regular
27776522,source,PGS,regular
27776522,created_by,Almien_Coastlines,regular
27776524,source,PGS,regular
27776524,created_by,Almien_Coastlines,regular
27776526,source,PGS,regular
27776526,created_by,Almien_Coastlines,regular
27776532,source,PGS,regular
27776532,created_by,Almien_Coastlines,regular
27776541,source,PGS,regular
27776541,created_by,Almien_Coastlines,regular
27776549,source,PGS,regular
27776549,created_by,Almien_Coastlines,regular
27776568,source,PGS,regular
27776568,created_by,Almien_Coastlines,regular
27776580,source,PGS,regular
27776580,created_by,Almien_Coastlines,regular
27776588,source,PGS,regular
27776588,created_by,Almien_Coastlines,regular
27776591,source,PGS,regular
27776591,created_by,Almien_Coastlines,regular
27776594,source,PGS,regular
27776594,created_by,Almien_Coastlines,regular
27776597,source,PGS,regular
27776597,created_by,Almien_Coastlines,regular
27776600,source,PGS,regular
27776600,created_by,Almien_Coastlines,regular
27776608,source,PGS,regular
27776608,created_by,Almien_Coastlines,regular
27776614,source,PGS,regular
27776614,created_by,Almien_Coastlines,regular
27776624,source,PGS,regular
27776624,created_by,Almien_Coastlines,regular
27776631,source,PGS,regular
27776631,created_by,Almien_Coastlines,regular
27776637,source,PGS,regular
27776637,created_by,Almien_Coastlines,regular
27776644,source,PGS,regular
27776644,created_by,Almien_Coastlines,regular
27776658,source,PGS,regular
27776658,created_by,Almien_Coastlines,regular
27776666,source,PGS,regular
27776666,created_by,Almien_Coastlines,regular
27776684,source,PGS,regular
27776684,created_by,Almien_Coastlines,regular
27776695,source,PGS,regular
27776695,created_by,Almien_Coastlines,regular
27776706,source,PGS,regular
27776706,created_by,Almien_Coastlines,regular
27776717,source,PGS,regular
27776717,created_by,Almien_Coastlines,regular
27776734,source,PGS,regular
27776734,created_by,Almien_Coastlines,regular
27776746,source,PGS,regular
27776746,created_by,Almien_Coastlines,regular
27776753,source,PGS,regular
27776753,created_by,Almien_Coastlines,regular
27776762,source,PGS,regular
27776762,created_by,Almien_Coastlines,regular
27776768,source,PGS,regular
27776768,created_by,Almien_Coastlines,regular
27776773,source,PGS,regular
27776773,created_by,Almien_Coastlines,regular
27776783,source,PGS,regular
27776783,created_by,Almien_Coastlines,regular
27776795,source,PGS,regular
27776795,created_by,Almien_Coastlines,regular
27776806,source,PGS,regular
27776806,created_by,Almien_Coastlines,regular
27776816,source,PGS,regular
27776816,created_by,Almien_Coastlines,regular
27776826,source,PGS,regular
27776826,created_by,Almien_Coastlines,regular
27776837,source,PGS,regular
27776837,created_by,Almien_Coastlines,regular
27776847,source,PGS,regular
27776847,created_by,Almien_Coastlines,regular
27776856,source,PGS,regular
27776856,created_by,Almien_Coastlines,regular
27776867,source,PGS,regular
27776867,created_by,Almien_Coastlines,regular
27776876,source,PGS,regular
27776876,created_by,Almien_Coastlines,regular
27776888,source,PGS,regular
27776888,created_by,Almien_Coastlines,regular
27776901,source,PGS,regular
27776901,created_by,Almien_Coastlines,regular
27776912,source,PGS,regular
27776912,created_by,Almien_Coastlines,regular
27776916,source,PGS,regular
27776916,created_by,Almien_Coastlines,regular
27776918,source,PGS,regular
27776918,created_by,Almien_Coastlines,regular
27776919,source,PGS,regular
27776919,created_by,Almien_Coastlines,regular
27776923,source,PGS,regular
27776923,created_by,Almien_Coastlines,regular
27776924,source,PGS,regular
27776924,created_by,Almien_Coastlines,regular
27776935,source,PGS,regular
27776935,created_by,Almien_Coastlines,regular
