id,user,uid,version,changeset,timestamp
3038902,batıormanı,1800585,12,36898890,2016-01-30T14:26:29Z
3038929,SomeoneElse_Revert,1778799,24,44191205,2016-12-05T19:59:08Z
3038946,vignesh anand,1233267,11,15368718,2013-03-15T01:43:05Z
3038957,erkinalp,113816,13,18455753,2013-10-20T17:43:42Z
4392379,kshuseyin,300055,38,34933386,2015-10-28T18:41:38Z
4392410,de24000,617093,33,13583996,2012-10-21T18:35:36Z
4392510,ayhanozates,1628470,10,19287824,2013-12-05T12:09:05Z
4520620,mikes,6270,1,70967,2007-05-28T21:57:03Z
4520621,mikes,6270,1,70967,2007-05-28T21:56:56Z
4520625,mikes,6270,1,70967,2007-05-28T21:57:06Z
4520626,mikes,6270,1,71537,2007-05-29T00:02:35Z
4520627,mikes,6270,1,70967,2007-05-28T21:56:56Z
4520632,mikes,6270,1,70967,2007-05-28T21:57:02Z
4520633,mikes,6270,1,70967,2007-05-28T21:57:01Z
4520650,mikes,6270,1,71537,2007-05-29T00:02:39Z
4520658,mikes,6270,1,71537,2007-05-29T00:02:42Z
4520668,kshuseyin,300055,15,37838555,2016-03-15T09:24:12Z
4520683,kshuseyin,300055,20,35519501,2015-11-22T22:55:33Z
4520688,kshuseyin,300055,33,40384161,2016-06-30T06:45:38Z
4520708,4b696d,1420318,17,33325513,2015-08-13T21:47:26Z
4520718,kshuseyin,300055,21,37099172,2016-02-09T11:29:17Z
4581794,Doruk Yörük,5025069,9,44865752,2017-01-03T09:16:51Z
4581798,kshuseyin,300055,25,37939697,2016-03-19T14:36:23Z
4581802,kshuseyin,300055,11,36348959,2016-01-03T22:32:52Z
4581804,kshuseyin,300055,15,37939830,2016-03-19T14:44:20Z
4581805,aighes,110639,14,16221373,2013-05-21T09:26:58Z
4582080,4b696d,1420318,9,33325513,2015-08-13T21:47:26Z
4986951,katpatuka,17497,10,5838287,2010-09-21T16:24:02Z
4986956,vignesh anand,1233267,18,15358357,2013-03-14T03:21:35Z
4986957,katpatuka,17497,7,5838287,2010-09-21T16:23:26Z
4986959,erkinalp,113816,12,2153362,2009-08-15T13:24:10Z
4986960,erkinalp,113816,16,48420232,2017-05-05T09:27:49Z
4986964,vignesh anand,1233267,13,15798531,2013-04-20T15:02:57Z
4987078,Ori952,385027,4,35185774,2015-11-09T08:07:16Z
4987079,kshuseyin,300055,18,36344848,2016-01-03T18:48:02Z
4987081,Nesim,1386706,14,46459519,2017-02-28T06:39:23Z
4987087,Isbite,1235661,20,21765133,2014-04-18T10:50:31Z
4987088,beweta,152074,6,14429679,2012-12-27T19:09:16Z
4987089,kshuseyin,300055,26,36185805,2015-12-26T22:44:59Z
4987090,Hasan12,3905551,29,39128941,2016-05-05T20:16:32Z
4987093,ayhanozates,1628470,13,19324691,2013-12-07T15:41:25Z
4987095,Ori952,385027,5,35185774,2015-11-09T08:07:16Z
4987096,de24000,617093,3,13213103,2012-09-22T21:23:07Z
4987098,Isbite,1235661,3,16651068,2013-06-22T01:08:20Z
4987099,c19,11127,1,177176,2007-07-30T03:52:07Z
4987100,c19,11127,1,177176,2007-07-30T03:52:07Z
4987102,areels,4402053,8,41408604,2016-08-12T11:20:01Z
4987106,ayhanozates,1628470,7,19289594,2013-12-05T13:54:24Z
4987107,Hasan12,3905551,16,39129018,2016-05-05T20:21:05Z
4987108,ayhanozates,1628470,6,19326298,2013-12-07T17:21:41Z
9254063,erkinalp,113816,33,18587104,2013-10-28T16:23:12Z
9254169,dmgroom_ct,437598,25,17557577,2013-08-28T16:20:22Z
9256135,erkinalp,113816,11,35029214,2015-11-02T09:42:10Z
9256595,Nesim,1386706,43,40912673,2016-07-21T06:36:15Z
9256708,erkinalp,113816,40,20193401,2014-01-25T13:32:00Z
9256775,Nesim,1386706,20,40912673,2016-07-21T06:36:15Z
9257519,sheik farid,1233282,12,15369903,2013-03-15T07:33:09Z
9257828,c19,11127,12,5123125,2010-07-01T19:45:44Z
9258112,Isbite,1235661,8,21146079,2014-03-16T22:22:59Z
9258259,venerdi,196617,4,36236557,2015-12-29T09:19:41Z
9259049,Isbite,1235661,10,18054479,2013-09-27T00:43:55Z
9259097,Tayfur Yünlü,3876603,13,39067856,2016-05-03T14:39:51Z
9259135,hari t,1253065,15,15751478,2013-04-16T15:25:42Z
9259458,Tayfur Yünlü,3876603,20,38966421,2016-04-28T20:45:54Z
9259768,karitotp,2748195,11,30103144,2015-04-09T20:28:26Z
9259797,Tayfur Yünlü,3876603,18,39067687,2016-05-03T14:34:07Z
9259931,kshuseyin,300055,18,44666805,2016-12-25T19:09:37Z
