id,key,value,type
3038902,foot,Yes,regular
3038902,name,Kıbrıs Sehitleri Avenue,regular
3038902,access,Designated,regular
3038902,bicycle,Yes,regular
3038902,highway,Pedestrian,regular
3038902,alt_name,Alsancak Sevgi Yolu,regular
3038902,motor_vehicle,Designated,regular
3038929,name,Plevne Boulevard,regular
3038929,highway,Residential,regular
3038946,oneway,No,regular
3038946,highway,Unclassified,regular
3038957,name,Gazi Boulevard,regular
3038957,oneway,Yes,regular
3038957,highway,Primary,regular
4392379,hgv,No,regular
4392379,ref,D550,regular
4392379,name,Anadolu Avenue,regular
4392379,lanes,3,regular
4392379,oneway,Yes,regular
4392379,highway,Trunk,regular
4392379,int_ref,E 87,regular
4392379,maxspeed,70,regular
4392410,ref,D550,regular
4392410,name,Anadolu Avenue,regular
4392410,lanes,3,regular
4392410,layer,1,regular
4392410,bridge,Yes,regular
4392410,oneway,Yes,regular
4392410,highway,Trunk,regular
4392410,int_ref,E 87,regular
4392410,maxspeed,50,regular
4392510,ref,O-31,regular
4392510,toll,Yes,regular
4392510,lanes,3,regular
4392510,oneway,Yes,regular
4392510,highway,Motorway,regular
4392510,surface,Asphalt,regular
4392510,maxspeed,120,regular
4520620,source,PGS,regular
4520620,natural,Coastline,regular
4520620,created_by,Almien_Coastlines,regular
4520621,source,PGS,regular
4520621,natural,Coastline,regular
4520621,created_by,Almien_Coastlines,regular
4520625,source,PGS,regular
4520625,natural,Coastline,regular
4520625,created_by,Almien_Coastlines,regular
4520626,source,PGS,regular
4520626,natural,Coastline,regular
4520626,created_by,Almien_Coastlines,regular
4520627,source,PGS,regular
4520627,natural,Coastline,regular
4520627,created_by,Almien_Coastlines,regular
4520632,source,PGS,regular
4520632,natural,Coastline,regular
4520632,created_by,Almien_Coastlines,regular
4520633,source,PGS,regular
4520633,natural,Coastline,regular
4520633,created_by,Almien_Coastlines,regular
4520650,source,PGS,regular
4520650,natural,Coastline,regular
4520650,created_by,Almien_Coastlines,regular
4520658,source,PGS,regular
4520658,natural,Coastline,regular
4520658,created_by,Almien_Coastlines,regular
4520668,source,PGS,regular
4520668,natural,Coastline,regular
4520683,source,PGS,regular
4520683,natural,Coastline,regular
4520688,source,PGS,regular
4520688,natural,Coastline,regular
4520708,source,PGS,regular
4520708,natural,Coastline,regular
4520718,source,PGS,regular
4520718,natural,Coastline,regular
4581794,source,PGS,regular
4581794,natural,Coastline,regular
4581798,ref,D300,regular
4581798,lanes,3,regular
4581798,oneway,Yes,regular
4581798,highway,Primary,regular
4581798,maxspeed,50,regular
4581802,name,Dr. Refik Saydam Boulevard,regular
4581802,lanes,2,regular
4581802,oneway,No,regular
4581802,highway,Primary,regular
4581802,maxspeed,30,regular
4581804,ref,D300,regular
4581804,oneway,Yes,regular
4581804,highway,Primary,regular
4581805,oneway,Yes,regular
4581805,highway,Tertiary,regular
4582080,source,PGS,regular
4582080,natural,Coastline,regular
4986951,ref,O-30,regular
4986951,oneway,Yes,regular
4986951,highway,Motorway,regular
4986951,maxspeed,80,regular
4986951,embankment,Yes,regular
4986956,ref,K-30/08,regular
4986956,oneway,Yes,regular
4986956,highway,Motorway_Link,regular
4986956,maxspeed,80,regular
4986957,ref,O-30,regular
4986957,layer,1,regular
4986957,bridge,Yes,regular
4986957,oneway,Yes,regular
4986957,highway,Motorway,regular
4986959,ref,K-30/08,regular
4986959,oneway,Yes,regular
4986959,highway,Motorway_Link,regular
4986959,maxspeed,50,regular
4986959,created_by,Potlatch 0.10F,regular
4986960,highway,Residential,regular
4986960,maxspeed,20,regular
4986960,oneway,Yes,regular
4986960,ref,K-30/08,regular
4986964,ref,O-30,regular
4986964,name,Izmir Otogar Bağlantısı,regular
4986964,oneway,Yes,regular
4986964,highway,Motorway,regular
4986964,maxspeed,80;50,regular
4987078,note,"Landsat Outdated, New Terminal 2007",regular
4987078,aeroway,Terminal,regular
4987079,ref,D550,regular
4987079,name,Akçay Avenue,regular
4987079,oneway,Yes,regular
4987079,highway,Trunk,regular
4987079,int_ref,E 87,regular
4987079,surface,Asphalt,regular
4987081,highway,Trunk,regular
4987081,int_ref,E 87,regular
4987081,oneway,Yes,regular
4987081,ref,D550,regular
4987087,ref,D300,regular
4987087,name,İnönü Avenue,regular
4987087,oneway,Yes,regular
4987087,highway,Primary,regular
4987088,oneway,Yes,regular
4987088,source,Bing,regular
4987088,highway,Residential,regular
4987089,oneway,Yes,regular
4987089,highway,Primary,regular
4987090,name,Kasaplar Square,regular
4987090,highway,Secondary,regular
4987093,ref,O-30,regular
4987093,name,İzmir-Çeşme Otoyolu,regular
4987093,lanes,3,regular
4987093,oneway,Yes,regular
4987093,highway,Motorway,regular
4987093,surface,Asphalt,regular
4987093,maxspeed,120,regular
4987095,aeroway,Apron,regular
4987096,ref,16L/34R,regular
4987096,aeroway,Runway,regular
4987098,aeroway,Taxiway,regular
4987099,aeroway,Taxiway,regular
4987099,created_by,JOSM,regular
4987100,aeroway,Taxiway,regular
4987100,created_by,JOSM,regular
4987102,lanes,1,regular
4987102,oneway,Yes,regular
4987102,highway,Trunk_Link,regular
4987106,ref,O-30,regular
4987106,name,Izmir Çevre Yolu,regular
4987106,oneway,Yes,regular
4987106,highway,Motorway_Link,regular
4987106,surface,Asphalt,regular
4987106,maxspeed,90,regular
4987107,name,Erdem Avenue,regular
4987107,highway,Secondary,regular
4987107,city,"Buca, Izmir",addr
4987108,oneway,Yes,regular
4987108,highway,Motorway_Link,regular
4987108,surface,Asphalt,regular
9254063,highway,Secondary,regular
9254169,oneway,Yes,regular
9254169,highway,Primary,regular
9256135,oneway,Yes,regular
9256135,highway,Trunk_Link,regular
9256135,maxspeed,50,regular
